Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Campylobacteria	Clostridia	Coriobacteriia	Deltaproteobacteria	Erysipelotrichia	Fusobacteriia	Gammaproteobacteria	Melainabacteria	Methanobacteria	Mollicutes	Negativicutes	Oxyphotobacteria	Saccharimonadia	Synergistia	Verrucomicrobiae	NA
AK10	6	0	49	41832	0	32603	1040	115	1392	0	3098	0	0	0	5	15	3	0	16118	417
AK1	5	0	239	38213	0	33744	317	3385	1944	0	5155	0	0	0	503	92	0	213	8083	7935
AK2	3	0	183	30952	0	26617	264	2877	1685	0	4124	0	0	0	368	38	0	213	7256	7030
AK3	5027	4	440	34858	0	45996	1915	492	700	0	3782	5153	0	0	2316	44	0	0	4345	119
AK4	255	0	983	44028	0	14971	1414	859	399	21844	13711	0	0	0	3954	17	0	0	3	12
AK5	1269	4	34	33698	36	44032	1334	519	420	0	2977	0	2	0	2002	244	0	1412	3027	973
AK6	70	0	125	37909	0	30076	2003	1170	6371	0	5403	0	0	0	8521	0	0	0	11457	982
AK7	2	0	2	38549	4	42514	549	793	1498	0	6824	0	0	0	1513	1101	5	0	17	804
AK8	116	0	66	26354	0	32087	1272	56	1250	0	1593	0	0	2	948	0	0	0	4898	1986
AK9	115	2	1078	61282	4	32041	33	1034	327	6	6495	0	0	0	4191	7	0	0	4642	41
