Actinomycetales	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Campylobacterales	Cardiobacteriales	Caulobacterales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	DTU014	Enterobacteriales	Erysipelotrichales	Fusobacteriales	Gastranaerophilales	Lactobacillales	Methanobacteriales	Micrococcales	Mollicutes RF39	Pasteurellales	Saccharimonadales	Selenomonadales	Synergistales	Verrucomicrobiales	NA
AK10	0	0	41832	3095	6	0	0	0	15	32603	1040	0	115	0	0	1392	0	0	49	0	0	0	3	3	5	0	16118	417
AK1	3	0	38213	4849	0	0	0	0	92	33694	278	0	3385	38	306	1944	0	0	239	0	2	0	0	0	503	213	8083	7986
AK2	1	0	30952	3837	0	0	0	0	38	26592	216	0	2877	21	287	1685	0	0	183	0	2	0	0	0	368	213	7256	7082
AK3	0	21	34856	3568	5027	0	0	4	44	45988	1915	0	492	0	90	700	0	5153	419	0	0	0	124	0	2316	0	4345	129
AK4	13	0	44028	3717	201	0	0	0	17	14971	1414	0	859	0	9878	399	21844	0	983	0	41	0	116	0	3954	0	3	12
AK5	0	0	33698	2209	1269	36	0	4	244	44015	1334	0	519	13	766	420	0	0	34	2	0	0	2	0	2002	1412	3027	977
AK6	7	0	37909	3636	55	0	0	0	0	30074	1951	0	1166	0	1735	6371	0	0	125	0	8	0	32	0	8521	0	11457	1040
AK7	0	0	38549	2347	1	4	0	0	1101	42509	549	0	793	0	4477	1498	0	0	2	0	1	0	0	5	1513	0	17	809
AK8	0	0	26354	1586	111	0	0	0	0	32056	1116	2	56	22	0	1250	0	0	66	0	3	2	7	0	948	0	4898	2151
AK9	0	6	61282	6121	109	4	3	2	7	32041	33	0	1034	0	5	327	6	0	1072	0	6	0	366	0	4191	0	4642	41
