Actinobacteria	Bacteroidetes	Cyanobacteria	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Patescibacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia	NA
AK10	1046	41832	15	0	0	34058	0	3	3257	0	0	16118	364
AK1	322	38213	92	0	0	36586	0	0	8540	213	0	8083	7779
AK2	267	30952	38	0	0	28984	0	0	7001	213	0	7256	6899
AK3	6942	34858	5197	0	0	49452	0	0	4278	0	0	4345	119
AK4	1669	44028	17	0	0	20309	21844	0	14570	0	0	3	10
AK5	2603	33698	244	36	2	46520	0	0	3500	1412	0	3027	941
AK6	2073	37909	0	0	0	45095	0	0	6573	0	0	11457	980
AK7	551	38549	1101	4	0	45529	0	5	7617	0	0	17	802
AK8	1388	26354	0	0	0	34412	0	0	1649	0	2	4898	1925
AK9	148	61282	7	4	0	37637	6	0	7531	0	0	4642	41
